,Tournament,Surface,Round,Winner,Loser,WRank,LRank,Wsets,Lsets,counts
0,Australian Open,Hard,1st Round,Berankis R.,Sijsling I.,85,84,3.0,2.0,3
1,Wimbledon,Grass,1st Round,Berankis R.,Haider-Maurer A.,90,57,1.0,0.0,3
2,US Open,Hard,1st Round,Berankis R.,Sousa J.,78,46,3.0,2.0,3
3,Australian Open,Hard,1st Round,Dimitrov G.,Brown D.,11,90,3.0,0.0,6
4,Australian Open,Hard,2nd Round,Dimitrov G.,Lacko L.,11,99,3.0,1.0,6
5,Australian Open,Hard,3rd Round,Dimitrov G.,Baghdatis M.,11,78,3.0,2.0,6
6,Wimbledon,Grass,1st Round,Dimitrov G.,Delbonis F.,11,73,3.0,0.0,6
7,Wimbledon,Grass,2nd Round,Dimitrov G.,Johnson S.,11,52,3.0,0.0,6
8,US Open,Hard,1st Round,Dimitrov G.,Ebden M.,17,131,3.0,0.0,6
9,Australian Open,Hard,1st Round,Anderson K.,Schwartzman D.,15,59,3.0,1.0,12
10,Australian Open,Hard,2nd Round,Anderson K.,Berankis R.,15,85,3.0,0.0,12
11,Australian Open,Hard,3rd Round,Anderson K.,Gasquet R.,15,28,3.0,0.0,12
12,French Open,Clay,1st Round,Anderson K.,Smyczek T.,17,73,3.0,0.0,12
13,French Open,Clay,2nd Round,Anderson K.,Lu Y.H.,17,65,3.0,1.0,12
14,Wimbledon,Grass,1st Round,Anderson K.,Pouille L.,14,96,3.0,1.0,12
15,Wimbledon,Grass,2nd Round,Anderson K.,Ilhan M.,14,82,3.0,1.0,12
16,Wimbledon,Grass,3rd Round,Anderson K.,Mayer L.,14,21,3.0,0.0,12
17,US Open,Hard,1st Round,Anderson K.,Rublev A.,14,198,3.0,1.0,12
18,US Open,Hard,2nd Round,Anderson K.,Krajicek A.,14,117,3.0,0.0,12
19,US Open,Hard,3rd Round,Anderson K.,Thiem D.,14,20,3.0,0.0,12
20,US Open,Hard,4th Round,Anderson K.,Murray A.,14,3,3.0,1.0,12
21,Australian Open,Hard,1st Round,Chardy J.,Coric B.,31,91,3.0,1.0,7
22,French Open,Clay,1st Round,Chardy J.,Berrer M.,45,145,3.0,1.0,7
23,French Open,Clay,2nd Round,Chardy J.,Isner J.,45,16,3.0,1.0,7
24,French Open,Clay,3rd Round,Chardy J.,Goffin D.,45,18,3.0,0.0,7
25,US Open,Hard,1st Round,Chardy J.,Shane R.,27,1410,3.0,1.0,7
26,US Open,Hard,2nd Round,Chardy J.,Klizan M.,27,36,3.0,0.0,7
27,US Open,Hard,3rd Round,Chardy J.,Ferrer D.,27,7,3.0,1.0,7
28,Australian Open,Hard,1st Round,Lacko L.,Gonzalez M.,99,98,3.0,2.0,1
29,Australian Open,Hard,1st Round,Matosevic M.,Kudryavtsev A.,81,127,3.0,2.0,1
30,Australian Open,Hard,1st Round,Seppi A.,Istomin D.,46,50,3.0,2.0,7
31,Australian Open,Hard,2nd Round,Seppi A.,Chardy J.,46,31,3.0,1.0,7
32,Australian Open,Hard,3rd Round,Seppi A.,Federer R.,46,2,3.0,1.0,7
33,Wimbledon,Grass,1st Round,Seppi A.,Klein B.,27,177,3.0,0.0,7
34,Wimbledon,Grass,2nd Round,Seppi A.,Coric B.,27,40,3.0,2.0,7
35,US Open,Hard,1st Round,Seppi A.,Paul T.,25,437,3.0,0.0,7
36,US Open,Hard,2nd Round,Seppi A.,Gabashvili T.,25,53,3.0,1.0,7
37,Australian Open,Hard,1st Round,Sousa J.,Thompson J.,55,274,3.0,0.0,3
38,Australian Open,Hard,2nd Round,Sousa J.,Klizan M.,55,34,2.0,1.0,3
39,French Open,Clay,1st Round,Sousa J.,Pospisil V.,44,53,3.0,0.0,3
40,Australian Open,Hard,1st Round,Klizan M.,Ito T.,34,89,3.0,0.0,3
41,French Open,Clay,1st Round,Klizan M.,Tiafoe F.,36,287,3.0,0.0,3
42,US Open,Hard,1st Round,Klizan M.,Mayer F.,36,216,2.0,1.0,3
43,Australian Open,Hard,1st Round,Gasquet R.,Berlocq C.,28,70,3.0,0.0,14
44,Australian Open,Hard,2nd Round,Gasquet R.,Duckworth J.,28,120,3.0,0.0,14
45,French Open,Clay,1st Round,Gasquet R.,Gigounon G.,21,209,3.0,0.0,14
46,French Open,Clay,2nd Round,Gasquet R.,Berlocq C.,21,111,3.0,2.0,14
47,French Open,Clay,3rd Round,Gasquet R.,Anderson K.,21,17,3.0,1.0,14
48,Wimbledon,Grass,1st Round,Gasquet R.,Saville L.,20,183,3.0,0.0,14
49,Wimbledon,Grass,2nd Round,Gasquet R.,De Schepper K.,20,163,3.0,0.0,14
50,Wimbledon,Grass,3rd Round,Gasquet R.,Dimitrov G.,20,11,3.0,0.0,14
51,Wimbledon,Grass,4th Round,Gasquet R.,Kyrgios N.,20,29,3.0,1.0,14
52,Wimbledon,Grass,Quarterfinals,Gasquet R.,Wawrinka S.,20,4,3.0,2.0,14
53,US Open,Hard,1st Round,Gasquet R.,Kokkinakis T.,12,71,2.0,2.0,14
54,US Open,Hard,2nd Round,Gasquet R.,Haase R.,12,79,3.0,1.0,14
55,US Open,Hard,3rd Round,Gasquet R.,Tomic B.,12,24,3.0,0.0,14
56,US Open,Hard,4th Round,Gasquet R.,Berdych T.,12,6,3.0,1.0,14
57,Australian Open,Hard,1st Round,Murray A.,Bhambri Y.,6,317,3.0,0.0,19
58,Australian Open,Hard,2nd Round,Murray A.,Matosevic M.,6,81,3.0,0.0,19
59,Australian Open,Hard,3rd Round,Murray A.,Sousa J.,6,55,3.0,0.0,19
60,Australian Open,Hard,4th Round,Murray A.,Dimitrov G.,6,11,3.0,1.0,19
61,Australian Open,Hard,Quarterfinals,Murray A.,Kyrgios N.,6,53,3.0,0.0,19
62,Australian Open,Hard,Semifinals,Murray A.,Berdych T.,6,7,3.0,1.0,19
63,French Open,Clay,1st Round,Murray A.,Arguello F.,3,137,3.0,0.0,19
64,French Open,Clay,2nd Round,Murray A.,Sousa J.,3,44,3.0,1.0,19
65,French Open,Clay,3rd Round,Murray A.,Kyrgios N.,3,30,3.0,0.0,19
