,Tournament,Series,Surface,Round,Winner,Loser,WRank,LRank,Wsets,Lsets,counts
0,Australian Open,Grand Slam,Hard,1st Round,Basic M.,Haase R.,138,65.0,3.0,0.0,1
1,Australian Open,Grand Slam,Hard,1st Round,Goffin D.,Stakhovsky S.,16,60.0,3.0,1.0,10
2,Australian Open,Grand Slam,Hard,2nd Round,Goffin D.,Dzumhur D.,16,81.0,3.0,1.0,10
3,Australian Open,Grand Slam,Hard,3rd Round,Goffin D.,Thiem D.,16,20.0,3.0,1.0,10
4,French Open,Grand Slam,Clay,1st Round,Goffin D.,Barrere G.,13,242.0,3.0,0.0,10
5,French Open,Grand Slam,Clay,2nd Round,Goffin D.,Berlocq C.,13,126.0,3.0,0.0,10
6,French Open,Grand Slam,Clay,3rd Round,Goffin D.,Almagro N.,13,49.0,3.0,2.0,10
7,French Open,Grand Slam,Clay,4th Round,Goffin D.,Gulbis E.,13,80.0,3.0,1.0,10
8,Wimbledon,Grand Slam,Grass,1st Round,Goffin D.,Ward A.,11,245.0,3.0,0.0,10
9,Wimbledon,Grand Slam,Grass,2nd Round,Goffin D.,Roger-Vasselin E.,11,186.0,3.0,0.0,10
10,Wimbledon,Grand Slam,Grass,3rd Round,Goffin D.,Istomin D.,11,116.0,3.0,1.0,10
11,Australian Open,Grand Slam,Hard,1st Round,Dzumhur D.,Edmund K.,81,88.0,3.0,2.0,3
12,Wimbledon,Grand Slam,Grass,1st Round,Dzumhur D.,Kudla D.,87,66.0,3.0,2.0,3
13,US Open,Grand Slam,Hard,1st Round,Dzumhur D.,Tomic B.,72,19.0,3.0,1.0,3
14,Australian Open,Grand Slam,Hard,1st Round,Brands D.,Estrella Burgos V.,151,55.0,3.0,1.0,1
15,Australian Open,Grand Slam,Hard,1st Round,Nishikori K.,Kohlschreiber P.,7,34.0,3.0,0.0,15
16,Australian Open,Grand Slam,Hard,2nd Round,Nishikori K.,Krajicek A.,7,103.0,3.0,0.0,15
17,Australian Open,Grand Slam,Hard,3rd Round,Nishikori K.,Garcia-Lopez G.,7,27.0,3.0,1.0,15
18,Australian Open,Grand Slam,Hard,4th Round,Nishikori K.,Tsonga J.W.,7,10.0,3.0,0.0,15
19,French Open,Grand Slam,Clay,1st Round,Nishikori K.,Bolelli S.,6,115.0,3.0,0.0,15
20,French Open,Grand Slam,Clay,2nd Round,Nishikori K.,Kuznetsov An.,6,40.0,3.0,0.0,15
21,French Open,Grand Slam,Clay,3rd Round,Nishikori K.,Verdasco F.,6,52.0,3.0,2.0,15
22,Wimbledon,Grand Slam,Grass,1st Round,Nishikori K.,Groth S.,6,124.0,3.0,0.0,15
23,Wimbledon,Grand Slam,Grass,2nd Round,Nishikori K.,Benneteau J.,6,547.0,3.0,1.0,15
24,Wimbledon,Grand Slam,Grass,3rd Round,Nishikori K.,Kuznetsov An.,6,42.0,3.0,0.0,15
25,US Open,Grand Slam,Hard,1st Round,Nishikori K.,Becker B.,7,96.0,3.0,1.0,15
